 	Trajectory	Frame	x	y	z	m0	m1	m2	m3	m4	NPscore
1	1	0	850.551	1121.607	0	23.579	2.754	9.159	33.966	135.743	8.798E-10
2	1	1	828.609	1120.734	0	22.697	2.784	9.381	35.336	143.780	1.150E-19
3	1	2	808.641	1122.098	0	22.964	2.758	9.225	34.527	139.773	7.078E-5
4	1	3	787.544	1122.854	0	22.319	2.808	9.553	36.342	149.424	0.008
5	1	4	769.556	1119.154	0	22.534	2.786	9.419	35.685	146.363	1.251E-5
6	1	5	749.079	1120.891	0	22.645	2.806	9.560	36.514	151.129	2.803E-7
7	1	6	728.664	1118.417	0	20.228	2.816	9.642	37.056	154.372	1.716E-8
8	1	7	705.783	1116.914	0	21.916	2.887	10.177	40.435	174.868	0.011
9	1	8	684.586	1117.353	0	21.841	2.829	9.709	37.320	155.192	1.560E-9
10	1	9	664.331	1118.042	0	22.050	2.858	9.930	38.718	163.579	8.344E-4
11	1	10	644.201	1118.530	0	21.546	2.882	10.109	39.821	170.121	2.808E-15
12	1	11	628.306	1122.382	0	20.454	2.891	10.184	40.336	173.362	6.648E-25
13	1	12	611.539	1122.784	0	21.605	2.853	9.881	38.345	160.994	1.255
14	1	13	592.824	1126.342	0	21.519	2.824	9.710	37.463	156.677	1.008E-8
15	1	14	570.315	1125.686	0	21.333	2.841	9.789	37.765	157.587	2.557E-19
16	1	15	553.938	1124.670	0	21.997	2.868	9.985	38.959	164.541	3.785E-8
17	1	19	478.429	1122.655	0	21.256	2.795	9.456	35.736	145.717	9.405E-24
18	1	20	461.099	1122.125	0	22.653	2.787	9.439	35.849	147.519	0.078
19	1	21	442.636	1123.505	0	22.079	2.762	9.232	34.437	138.518	1.497E-6
20	1	22	419.271	1123.105	0	21.531	2.813	9.604	36.716	151.849	6.038E-8
21	1	23	400.005	1119.460	0	22.473	2.791	9.447	35.776	146.543	0.167
22	1	24	379.649	1119.539	0	22.551	2.777	9.309	34.771	139.849	5.592
23	1	25	357.209	1119.134	0	22.735	2.809	9.549	36.273	148.820	1.887
24	1	26	335.053	1122.618	0	21.887	2.808	9.549	36.312	149.204	1.845
25	1	28	299.495	1124.271	0	20.632	2.785	9.392	35.389	143.981	0.002
26	2	0	851.334	771.483	0	21.827	2.945	10.445	41.270	175.629	8.798E-10
27	2	1	829.921	770.306	0	20.426	3.078	11.410	47.157	210.041	1.150E-19
28	2	2	802.421	776.488	0	22.071	2.957	10.516	41.629	177.342	7.078E-5
29	2	3	779.578	773.758	0	22.034	2.985	10.757	43.263	187.691	0.008
30	2	4	755.408	772.520	0	21.621	3.000	10.826	43.498	188.178	1.251E-5
31	2	5	728.222	773.828	0	21.737	3.051	11.217	45.977	203.121	2.803E-7
32	2	6	704.139	772.110	0	21.896	2.992	10.803	43.555	189.645	1.716E-8
33	2	7	680.099	765.599	0	20.795	2.965	10.616	42.456	183.373	0.011
34	2	8	659.933	768.250	0	24.035	2.883	10.033	38.944	163.042	13.733
35	2	9	638.000	769.321	0	23.361	2.940	10.437	41.393	177.308	3.627
36	2	10	615.448	767.329	0	24.232	2.869	9.905	38.056	157.317	8.955
37	2	11	590.610	770.295	0	23.865	2.876	9.961	38.402	159.310	0.005
38	2	12	567.626	770.084	0	21.414	2.962	10.568	42.034	180.161	1.255
39	2	13	539.047	772.353	0	23.509	2.914	10.233	40.095	169.482	4.382E-7
40	2	14	516.340	767.934	0	24.344	2.882	10.012	38.797	162.112	0.002
41	2	15	492.538	766.023	0	23.989	2.881	10.011	38.800	162.178	0.303
42	2	16	469.014	765.239	0	24.230	2.864	9.910	38.278	159.604	0.090
43	2	17	445.002	764.776	0	24.318	2.821	9.607	36.515	149.786	0.218
44	2	18	420.810	760.543	0	24.783	2.770	9.253	34.420	137.903	15.656
45	2	19	395.626	761.329	0	24.594	2.785	9.329	34.754	139.252	7.061
46	2	20	370.521	767.761	0	23.675	2.820	9.579	36.207	147.256	0.418
47	2	21	347.176	767.572	0	23.845	2.816	9.573	36.316	148.675	1.742
48	2	22	326.465	766.699	0	23.500	2.816	9.564	36.179	147.395	1.386
49	2	23	302.631	769.747	0	23.401	2.832	9.673	36.801	150.785	1.268
50	2	24	276.769	771.150	0	23.861	2.807	9.506	35.878	145.952	0.002
51	2	25	257.774	773.453	0	23.786	2.788	9.358	34.965	140.635	0.828
52	2	26	238.157	771.720	0	23.030	2.826	9.638	36.667	150.428	4.666
53	2	27	219.983	768.353	0	22.669	2.857	9.868	38.074	158.705	0.004
54	2	28	197.399	766.516	0	21.912	2.852	9.797	37.469	154.254	0.002
55	2	29	168.785	766.452	0	21.790	2.838	9.712	37.042	152.246	2.456E-5
56	2	30	143.429	767.918	0	22.078	2.810	9.515	35.909	146.054	0.011
57	2	31	121.663	768.596	0	22.023	2.792	9.388	35.133	141.513	2.436E-6
58	2	32	100.412	769.563	0	22.325	2.770	9.239	34.279	136.818	4.620
59	2	33	78.219	765.743	0	22.371	2.789	9.376	35.130	141.840	3.209
60	2	34	56.025	765.568	0	21.523	2.850	9.823	37.874	157.943	3.385
61	2	35	32.591	766.389	0	22.282	2.768	9.225	34.190	136.286	9.883E-8
62	2	36	12.536	769.714	0	21.713	2.762	9.182	33.970	135.238	5.035E-6
63	3	3	1035.946	865.442	0	10.067	2.187	5.959	18.345	61.312	0
64	3	4	1018.447	865.759	0	25.591	2.805	9.470	35.574	143.801	8.039E-20
65	3	5	995.024	860.185	0	24.986	2.873	9.983	38.776	162.829	8.288E-12
66	3	6	972.814	863.661	0	24.331	2.869	9.928	38.331	159.682	4.700E-14
67	3	7	950.136	866.604	0	24.598	2.852	9.809	37.638	155.790	1.926E-15
68	3	8	927.466	867.665	0	23.993	2.863	9.866	37.852	156.310	13.733
69	3	9	904.286	870.263	0	23.692	2.880	10.005	38.749	161.758	3.626
70	3	10	883.064	874.117	0	24.519	2.889	10.086	39.364	166.129	8.955
71	3	11	860.164	874.650	0	25.135	2.861	9.868	37.924	157.067	0.005
72	3	12	834.830	876.534	0	25.577	2.837	9.705	37.003	152.097	7.427E-34
73	3	13	810.981	875.879	0	25.361	2.875	9.993	38.816	162.919	4.281E-7
74	3	14	787.514	874.577	0	25.571	2.802	9.448	35.412	142.685	0.002
75	3	15	763.898	877.271	0	24.879	2.878	9.992	38.679	161.491	0.303
76	3	16	741.879	878.647	0	25.991	2.810	9.521	35.963	146.421	1.386E-6
77	3	17	725.401	877.849	0	25.639	2.808	9.511	35.884	145.837	0.047
78	3	18	698.900	874.032	0	24.728	2.880	10.030	39.037	164.193	1.384
79	3	19	674.370	872.137	0	24.929	2.853	9.814	37.622	155.443	4.367
80	3	20	647.768	875.055	0	25.993	2.817	9.589	36.433	149.356	2.668E-7
81	3	21	620.125	878.150	0	25.980	2.825	9.635	36.663	150.531	3.931E-7
82	3	22	596.955	876.057	0	25.391	2.841	9.766	37.512	155.688	4.442E-5
83	3	23	571.646	874.900	0	25.022	2.831	9.665	36.768	150.763	0.003
84	3	24	548.323	873.304	0	25.791	2.770	9.241	34.325	137.280	9.085E-8
85	3	25	525.509	871.970	0	25.882	2.775	9.308	34.860	140.964	4.526E-9
86	3	26	506.611	872.629	0	26.119	2.740	9.051	33.294	131.854	5.368E-21
87	3	27	483.405	873.986	0	25.783	2.769	9.263	34.594	139.482	9.916E-8
88	3	28	459.385	873.784	0	25.465	2.775	9.288	34.622	139.011	8.086E-6
89	3	29	438.649	874.886	0	25.226	2.763	9.215	34.271	137.426	3.313E-7
90	3	30	415.303	874.282	0	25.327	2.747	9.104	33.624	133.820	5.904E-9
91	3	31	393.630	873.318	0	25.098	2.746	9.086	33.458	132.599	0.002
92	3	32	371.831	876.924	0	24.751	2.779	9.329	34.968	141.512	2.523E-12
93	3	33	352.229	883.036	0	24.857	2.804	9.491	35.853	146.155	5.714E-13
94	3	34	334.142	885.927	0	24.387	2.812	9.548	36.172	147.864	1.671E-17
95	3	35	313.593	883.692	0	24.226	2.771	9.240	34.274	136.794	9.845E-8
96	3	36	286.390	881.560	0	23.755	2.778	9.288	34.539	138.120	8.723
97	3	37	257.791	876.518	0	23.102	2.826	9.627	36.524	149.211	4.009
98	3	38	235.807	875.375	0	22.106	2.868	9.918	38.220	158.717	0.168
99	3	39	213.230	873.490	0	22.279	2.839	9.709	36.979	151.662	1.597E-7
100	3	40	192.701	875.162	0	22.694	2.811	9.536	36.066	147.027	4.099E-4
101	3	41	165.316	872.370	0	22.194	2.804	9.477	35.665	144.553	0.005
102	3	42	141.693	869.421	0	21.555	2.857	9.844	37.791	156.337	1.633E-18
103	3	43	119.915	872.802	0	21.967	2.824	9.624	36.594	150.136	1.532E-18
104	3	44	96.634	874.282	0	21.624	2.775	9.287	34.599	138.728	2.551E-15
105	3	45	77.692	875.055	0	22.031	2.789	9.388	35.258	142.843	0.003
106	3	46	58.555	877.567	0	20.700	2.736	9.025	33.127	130.864	0.022
107	3	47	41.333	877.745	0	20.681	2.770	9.257	34.502	138.673	1.982E-6
108	3	48	20.484	875.229	0	20.956	2.736	9.025	33.143	131.051	3.343
109	4	16	1032.899	493.034	0	23.646	2.738	9.076	33.642	134.761	0.090
110	4	17	1013.466	492.354	0	24.806	2.704	8.818	32.033	125.330	0.260
111	4	18	997.555	489.967	0	24.898	2.764	9.242	34.538	139.460	15.510
112	4	19	978.290	492.004	0	25.075	2.749	9.148	34.014	136.644	5.824
113	4	20	959.723	493.392	0	24.231	2.714	8.900	32.547	128.297	0.340
114	4	21	942.320	496.715	0	24.213	2.731	9.018	33.212	131.877	1.742
115	4	22	922.289	495.322	0	23.965	2.736	9.042	33.333	132.493	1.386
116	4	23	905.053	494.478	0	23.835	2.739	9.085	33.693	135.031	1.105
117	4	24	885.030	489.173	0	22.095	2.772	9.339	35.287	144.489	5.589
